sweep,energy_per_spin,abs_magnetization_per_spin
554,-1.8750000000,0.9453125000
555,-1.9218750000,0.9765625000
556,-1.8125000000,0.9453125000
557,-1.8281250000,0.9531250000
558,-1.7500000000,0.9218750000
559,-1.6406250000,0.8593750000
560,-1.7187500000,0.8984375000
561,-1.6093750000,0.8515625000
562,-1.5625000000,0.8281250000
563,-1.5000000000,0.8359375000
564,-1.5625000000,0.8515625000
565,-1.5156250000,0.8359375000
566,-1.4062500000,0.7812500000
567,-1.4218750000,0.7578125000
568,-1.5000000000,0.7500000000
569,-1.4687500000,0.8046875000
570,-1.4531250000,0.7812500000
571,-1.4843750000,0.7265625000
572,-1.6250000000,0.7812500000
573,-1.6093750000,0.7812500000
574,-1.5781250000,0.8125000000
575,-1.6562500000,0.7968750000
576,-1.5781250000,0.7968750000
577,-1.4843750000,0.7734375000
578,-1.5781250000,0.7890625000
579,-1.5937500000,0.8359375000
580,-1.5625000000,0.7890625000
581,-1.4843750000,0.7890625000
582,-1.7031250000,0.8359375000
583,-1.7343750000,0.8046875000
584,-1.8125000000,0.8984375000
585,-1.7812500000,0.8984375000
586,-1.7812500000,0.9062500000
587,-1.6718750000,0.8437500000
588,-1.6562500000,0.8203125000
589,-1.5625000000,0.7890625000
590,-1.6562500000,0.8437500000
591,-1.7656250000,0.8984375000
592,-1.7187500000,0.8984375000
593,-1.7500000000,0.9296875000
594,-1.8593750000,0.9609375000
595,-1.8437500000,0.9531250000
596,-1.7968750000,0.9453125000
597,-1.7812500000,0.9218750000
598,-1.7500000000,0.9296875000
599,-1.7968750000,0.9375000000
600,-1.6875000000,0.8984375000
601,-1.6562500000,0.8984375000
602,-1.7187500000,0.9062500000
603,-1.7500000000,0.9296875000
604,-1.8281250000,0.9531250000
605,-1.7968750000,0.9453125000
606,-1.7500000000,0.9218750000
607,-1.7187500000,0.9140625000
608,-1.7500000000,0.8984375000
609,-1.6718750000,0.8906250000
610,-1.7500000000,0.9296875000
611,-1.6875000000,0.8984375000
612,-1.6875000000,0.9140625000
613,-1.6093750000,0.8515625000
614,-1.7343750000,0.9218750000
615,-1.7187500000,0.8984375000
616,-1.7187500000,0.9218750000
617,-1.7968750000,0.9453125000
618,-1.7500000000,0.9140625000
619,-1.8281250000,0.9453125000
620,-1.8437500000,0.9609375000
621,-1.7968750000,0.9453125000
